average year difference across all countries,2.39,,,,,,,,
minimum year difference,0,,,,,,,,
maximum year difference,5,,,,,,,,
,,,,,,,,,
average ARCn,0.1371740444,,,,,,,,
average ARCr,0.1751308381,,,,,,,,
average ARCu,0.06065592189,,,,,,,,
,,,,,,,,,
missing ARCn,2,,,,,,,,
missing ARCr,64,,,,,,,,
missing ARCu,50,,,,,,,,
,,,,,,,,,
Total number of countries,231,,,,,,,,
,,,,,,,,,
Number of countries with full access across both years,15,,,,,,,,
,,,,,,,,,
ARC_n_full,62,,,,,,,,
ARC_r_full,29,,,,,,,,
ARC_u_full,55,,,,,,,,
,,,,,,,,,
ARC_n_zero,16,,,,,,,,
ARC_r_zero,5,,,,,,,,
ARC_u_zero,7,,,,,,,,
,,,,,,,,,
ARC_n_less_zero,16,,,,,,,,
ARC_r_less_zero,17,,,,,,,,
ARC_u_less_zero,26,,,,,,,,
,,,,,,,,,
ARC_n_greater_zero,135,,,,,,,,
ARC_r_greater_zero,116,,,,,,,,
ARC_u_greater_zero,93,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Median_y_diff,5,,,,,,,,
Minimum_y_diff,1,,,,,,,,
Maximum_y_diff,5,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Median_ARCn,0.07858998,,,,,,,,
Minimum_ARCn,-1.021788674,,,,,,,,
Maximum-ARCn,2.750326488,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Median_ARCr,0.2897808,,,,,,,,
Minimum_ARCr,-1.22738096,,,,,,,,
Maximum-ARCr,2.667882638,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Median_ARCu,0.03014517,,,,,,,,
Minimum_ARCu,-1.620086812,,,,,,,,
Maximum-ARCu,2.668211856,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The number of countries per region.,,,,Regions,COUNTA of name,AVERAGE of ARCn,AVERAGE of ARCr,AVERAGE of ARCu,AVERAGE of wat_lim_n
The average Annual Rates of change on a national level per region.,,,,East Asia & Pacific,80,0.2784349022,0.5077948018,0.2329579212,1.440260192
The average Annual Rates of change in rural areas per region.,,,,Europe & Central Asia,128,0.1116857807,0.2244097083,0.04699521642,1.038980295
The average Annual Rates of change in urban areas per region.,,,,Latin America & Caribbean,96,0.1444248535,0.680314497,0.07152159448,0.500705046
,,,,Middle East & North Africa,20,0.3455630234,0.736987229,0.123978045,5.958988657
,,,,North America,10,0.0171583956,0.14233131,0.0020331735,0
,,,,South Asia,22,0.4802304002,0.5591446267,0.2654886731,2.207216396
,,,,Sub-Saharan Africa,106,0.5582808207,0.6042159222,0.2703666709,11.38445308
,,,,Grand Total,462,0.2767441419,0.484493696,0.1548234028,3.634400592